year,certificate,movielist
I 2017,15+,Get Out
2019,A,The Gentlemen
2005,U,Pride & Prejudice
2015,A,The Big Short
2016,UA,Rogue One
1984,UA,Ghostbusters
2004,A,The Notebook
1986,U,Ferris Bueller's Day Off
I 2011,A,Drive
1993,UA,Tombstone
1964,U,Mary Poppins
2019,U,Little Women
1971,U,Willy Wonka & the Chocolate Factory
2019,16,The Irishman
1993,U,The Fugitive
2022,U,Puss in Boots: The Last Wish
2015,A,The Hateful Eight
2022,A,Im Westen nichts Neues
1943,Not Rated,Shadow of a Doubt
2006,A,Apocalypto
1990,A,Misery
2012,UA,The Hobbit: An Unexpected Journey
1985,UA,The Breakfast Club
2010,UA,The Social Network
1993,R,A Bronx Tale
2011,(Banned),The Girl with the Dragon Tattoo
I 2013,16,About Time
2017,UA,Dunkirk
2016,UA,Hidden Figures
2022,UA,RRR (Rise Roar Revolt)
1987,A,Predator
2000,U,Remember the Titans
2017,UA,Call Me by Your Name
2015,U,Star Wars: Episode VII - The Force Awakens
2021,R,Verdens verste menneske
2016,UA,Manchester by the Sea
1968,A,Night of the Living Dead
2014,A,Nightcrawler
2000,UA,Cast Away
2008,UA,The Curious Case of Benjamin Button
2007,UA,Atonement
2007,A,Hot Fuzz
2012,UA,Skyfall
I 2008,A,Taken
2007,A,American Gangster
2006,UA,Little Miss Sunshine
2007,Not Rated,The Man from Earth
2002,UA,The Bourne Identity
1982,U,The King of Comedy
1991,A,Boyz n the Hood
2012,A,Moonrise Kingdom
1993,U,The Sandlot
1989,U,Back to the Future Part II
2013,UA,The Hobbit: The Desolation of Smaug
1931,A,Frankenstein
2018,U,Isle of Dogs
2003,UA,The Last Samurai
2016,18,Captain Fantastic
2010,Not Rated,Ang-ma-reul bo-at-da
2016,UA,Captain America: Civil War
1987,A,The Untouchables
I 2022,PG-13,Close
2008,A,Changeling
2008,R,LÃ¥t den rÃ¤tte komma in
2009,R,Moon
1978,A,Dawn of the Dead
2005,PG-13,Serenity
1993,U,The Remains of the Day
1964,U,My Fair Lady
I 2006,R,The Fall
1932,Not Rated,Freaks
1990,U,Awakenings
1973,Not Rated,La montaÃ±a sagrada
2021,U,Gekijouban Jujutsu Kaisen 0
2014,U,Big Hero 6
1988,A,Mississippi Burning
2014,UA,Captain America: The Winter Soldier
2015,R,Straight Outta Compton
1944,PG,To Have and Have Not
1999,U,October Sky
I 2010,UA,The Fighter
2009,R,MÃ¤n som hatar kvinnor
1994,UA,Ed Wood
2013,UA,Captain Phillips
1969,A,Midnight Cowboy
2005,U,Walk the Line
1989,U,Majo no takkyÃ»bin
2013,R,La migliore offerta
I 2007,R,Once
2016,UA,Hunt for the Wilderpeople
1974,U,The Conversation
2017,U,Paddington 2
1989,U,Glory
1935,Not Rated,Bride of Frankenstein
1972,A,Cabaret
1979,U,Kramer vs. Kramer
2022,UA 16+,Thirteen Lives
1973,A,The Day of the Jackal
2002,R,Lilja 4-ever
1999,UA,The Insider
1956,U,The Searchers
2014,U,How to Train Your Dragon 2
1935,Not Rated,A Night at the Opera
1947,Not Rated,The Ghost and Mrs. Muir
1964,Not Rated,Les parapluies de Cherbourg
1976,UA,The Outlaw Josey Wales
1996,R,Breaking the Waves
1978,Not Rated,Days of Heaven
1944,Not Rated,Gaslight
1971,A,The Devils
1979,A,All That Jazz
1983,UA,The Right Stuff
1995,U,Mimi wo sumaseba
2006,UA,Letters from Iwo Jima
1951,U,The Day the Earth Stood Still
1961,A,The Innocents
1999,R,Todo sobre mi madre
1986,Not Rated,Hannah and Her Sisters
2008,Not Rated,Chugyeokja
1979,Not Rated,Manhattan
1964,Not Rated,The Train
2017,UA,Loving Vincent
1972,Not Rated,"Aguirre, der Zorn Gottes"
2022,UA,Gangubai Kathiawadi
1939,Not Rated,Stagecoach
1989,U,My Left Foot: The Story of Christy Brown
2016,UA,"I, Daniel Blake"
1962,G,The Music Man
1989,R,Dip huet seung hung
1984,A,The Killing Fields
I 2014,R,Pride
1955,U,East of Eden
2009,UA,Das weiÃe Band - Eine deutsche Kindergeschichte
1971,Not Rated,Johnny Got His Gun
1975,U,The Man Who Would Be King
1967,Not Rated,Guess Who's Coming to Dinner
1993,A,JÃ»bÃª ninpÃ»chÃ´
1955,Not Rated,The Court Jester
2015,R,Under sandet
2011,Not Rated,Bir Zamanlar Anadolu'da
1948,Not Rated,Red River
1959,Not Rated,Imitation of Life
2009,A,Un prophÃ¨te
1950,Not Rated,The Asphalt Jungle
1963,Not Rated,Hud
1973,Not Rated,El espÃ­ritu de la colmena
1993,PG,Batman: Mask of the Phantasm
2001,U,Cowboy Bebop: Tengoku no tobira
2005,U,The World's Fastest Indian
1933,Not Rated,Duck Soup
2019,UA,Badla
1967,Not Rated,Playtime
1939,Not Rated,The Hunchback of Notre Dame
2004,PG-13,Les choristes
1969,A,"They Shoot Horses, Don't They?"
2013,U,The Lunchbox
1972,Not Rated,Le charme discret de la bourgeoisie
2013,Not Rated,Soshite chichi ni naru
1938,Not Rated,Bringing Up Baby
1994,Not Rated,Il postino
1946,Not Rated,Great Expectations
1940,Not Rated,His Girl Friday
2013,Not Rated,Berserk: Ougon jidai-hen III - Kourin
1989,Not Rated,Crimes and Misdemeanors
1977,Not Rated,Cet obscur objet du dÃ©sir
1987,Not Rated,Babettes gÃ¦stebud
2003,UA,TÃ´kyÃ´ goddofÃ¢zÃ¢zu
1994,Not Rated,Yin shi nan nu
2019,Not Rated,Law of Tehran
1962,Not Rated,Vivre sa vie: Film en douze tableaux
2015,Not Rated,El abrazo de la serpiente
1948,Not Rated,Oliver Twist
1997,Not Rated,Brat
1961,U,The Children's Hour
1938,Not Rated,You Can't Take It with You
2004,U,Veer-Zaara
1964,PG-13,Becket
1964,Not Rated,Seven Days in May
2006,Not Rated,Kader
1966,Not Rated,Au hasard Balthazar
2001,Not Rated,Sennen joyÃ»
1934,Not Rated,L'Atalante
I 2021,13,Mimi
2015,Not Rated,Boruto: Naruto the Movie
1958,Not Rated,PopiÃ³l i diament
1963,Not Rated,The Servant
1987,PG-13,Pelle erobreren
2016,PG-13,Ma vie de Courgette
1997,Not Rated,Knockin' on Heaven's Door
2019,Not Rated,Systemsprenger
1929,Not Rated,Die BÃ¼chse der Pandora
2007,Not Rated,Stranger: MukÃ´ hadan
1939,Not Rated,Ninotchka
1952,Not Rated,The Bad and the Beautiful
1962,A,Days of Wine and Roses
1962,Not Rated,Mamma Roma
1980,Not Rated,'Breaker' Morant
2012,U,English Vinglish
1953,Not Rated,I vitelloni
2016,U,Kono sekai no katasumi ni
2012,PG,Ernest et CÃ©lestine
1925,Not Rated,Seven Chances
1963,R,Tystnaden
1974,Not Rated,Le fantÃ´me de la libertÃ©
1951,Not Rated,Journal d'un curÃ© de campagne
1962,Not Rated,Birdman of Alcatraz
2010,U,Shi
1969,Not Rated,Ma nuit chez Maud
1949,Not Rated,Nora inu
1994,R,Utomlennye solntsem
1948,Not Rated,Germania anno zero
1947,Not Rated,Monsieur Verdoux
1936,Not Rated,Mr. Deeds Goes to Town
2011,Not Rated,Hotarubi no mori e
2002,Not Rated,Oasiseu
1959,Not Rated,OhayÃ´
2012,UA,Vicky Donor
2013,U,Kai po che!
2003,Not Rated,Interstella 5555: The 5tory of the 5ecret 5tar 5ystem
2006,Not Rated,Ostrov
2021,UA 16+,Minnal Murali
2001,R,El hijo de la novia
2017,U,Hindi Medium
2005,R,Moartea domnului Lazarescu
1928,Not Rated,"Steamboat Bill, Jr."
1936,Not Rated,Fury
2007,Not Rated,Kabadayi
1923,Not Rated,Our Hospitality
2004,UA,Lakshya
1943,Not Rated,Le corbeau
2017,UA,Secret Superstar
1999,U,Wo de fu qin mu qin
2001,U,Nayak: The Real Hero
2005,Not Rated,GÃ¶nÃ¼l Yarasi
2021,13,Joji
2018,UA,Goodachari
2003,UA,Gangaajal
1978,A,Halloween
2005,UA,Harry Potter and the Goblet of Fire
2009,U,Coraline
2022,A,The Whale
2015,A,Sicario
1985,U,The Goonies
2014,A,Kingsman: The Secret Service
2022,A,The Banshees of Inisherin
2001,A,Black Hawk Down
2017,R,Wind River
2004,UA,Man on Fire
II 2022,R,Aftersun
1980,U,Airplane!
2009,UA,The Hangover
2010,UA,Harry Potter and the Deathly Hallows - Part 1
2018,U/A,Mission: Impossible - Fallout
2007,UA,Zodiac
1989,UA,When Harry Met Sally...
2003,UA,Lost in Translation
1990,U,Home Alone
2001,UA,Ocean's Eleven
2005,A,Brokeback Mountain
2009,UA,(500) Days of Summer
1992,U,A Few Good Men
2013,A,La vie d'AdÃ¨le
2001,A,Y tu mamÃ¡ tambiÃ©n
2001,A,Training Day
2008,PG-13,The Boy in the Striped Pajamas
2014,UA,Ex Machina
1997,UA,The Game
1974,A,Blazing Saddles
1960,Not Rated,The Magnificent Seven
2002,UA,The Count of Monte Cristo
2010,U,Tangled
1986,UA,Der Name der Rose
1986,A,Blue Velvet
1999,A,The Boondock Saints
1992,UA,The Last of the Mohicans
1971,A,The French Connection
1987,A,Evil Dead II
2012,A,Silver Linings Playbook
I 2004,UA,Crash
2014,A,Birdman or (The Unexpected Virtue of Ignorance)
2011,UA,X: First Class
1982,A,First Blood
1972,U,Deliverance
1996,A,Primal Fear
2019,U,Toy Story 4
1988,U,Who Framed Roger Rabbit
1993,U,What's Eating Gilbert Grape
2013,UA,Gravity
2014,U,The Lego Movie
2020,16,Druk
2012,A,Argo
1993,UA,Philadelphia
2022,PG-13,An CailÃ­n CiÃºin
2009,R,Mr. Nobody
2022,PG,Suzume no Tojimari
2000,U,"O Brother, Where Art Thou?"
1997,A,Donnie Brasco
1991,U,Fried Green Tomatoes
1997,UA,GATTACA
1997,A,As Good as It Gets
1993,Not Rated,Naked
2002,A,Road to Perdition
2014,UA,The Fault in Our Stars
1992,U,Malcolm X
1998,Not Rated,Happiness
2012,U,Wreck-It Ralph
2021,PG,Marcel the Shell with Shoes On
I 1995,U,Apollo 13
1995,U,Sense and Sensibility
1977,U,Sorcerer
2019,18,Sound of Metal
1987,U,Empire of the Sun
1947,Not Rated,Black Narcissus
2022,Not Rated,Le otto montagne
2004,A,The Bourne Supremacy
2006,A,This Is England
2018,16,Roma
1964,A,Goldfinger
2004,UA,Kung fu
1971,A,Dirty Harry
2011,Not Rated,Detachment
2007,A,3:10 to Yuma
2015,PG-13,En man som heter Ove
2014,U,The Theory of Everything
2006,U,Paprika
2020,18,The Trial of the Chicago 7
1992,R,Glengarry Glen Ross
1985,U,The Color Purple
2013,UA,Star Trek Into Darkness
1999,R,Being John Malkovich
I 2004,A,Ray
2002,R,Adaptation.
1998,UA,Lola rennt
1982,U,Star Trek II: The Wrath of Khan
2006,A,Zwartboek
1994,U,Clerks
1973,A,Serpico
I 2010,PG,Flipped
2000,UA,Billy Elliot
2013,Not Rated,Kaze tachinu
1982,U,The Verdict
2015,PG-13,Me and Earl and the Dying Girl
1988,Not Rated,Spoorloos
2006,R,Lucky Number Slevin
1967,A,Belle de jour
1956,Not Rated,Invasion of the Body Snatchers
1967,U,The Dirty Dozen
1996,PG-13,Hamlet
1993,R,Short Cuts
1973,Not Rated,Badlands
1990,Not Rated,Miller's Crossing
1962,U,The Longest Day
1967,A,Bonnie and Clyde
2009,R,Madeo
1980,U,Ordinary People
1997,U,Abre los ojos
1947,Not Rated,Nightmare Alley
1987,U,The Last Emperor
1981,Not Rated,My Dinner with Andre
1976,A,Novecento
2004,U,Finding Neverland
2013,Not Rated,La grande bellezza
1952,Not Rated,The Quiet Man
1992,A,Lat sau san taam
2018,R,Werk ohne Autor
2001,R,Hedwig and the Angry Inch
2010,7,Ajeossi
1940,U,Fantasia
2016,U,Kubo and the Two Strings
1992,U,Kurenai no buta
1954,U,The Caine Mutiny
1999,A,"South Park: Bigger, Longer & Uncut"
2001,R,Waking Life
2015,UA 16+,Beasts of No Nation
1973,U,La planÃ¨te sauvage
1979,U,Breaking Away
1960,U,Ã bout de souffle
2003,R,Good Bye Lenin!
2016,Not Rated,Perfetti sconosciuti
2013,UA,Nebraska
1967,A,Wait Until Dark
1964,U,Zulu
1951,U,The African Queen
1972,Not Rated,"What's Up, Doc?"
1991,R,Night on Earth
1997,Not Rated,Ta'm e guilass
1938,Not Rated,The Lady Vanishes
1991,R,La double vie de VÃ©ronique
2004,U,Diarios de motocicleta
1962,A,Cape Fear
2014,U,Omoide no Marnie
2015,PG,Le Petit Prince
1955,Not Rated,Marty
1966,U,A Man for All Seasons
1946,Not Rated,My Darling Clementine
1997,Not Rated,Chun gwong cha sit
2002,R,The Magdalene Sisters
2012,Not Rated,The Broken Circle Breakdown
2008,U,Frost/Nixon
2003,Not Rated,Ondskan
2010,Not Rated,Kokuhaku
1960,PG-13,Plein soleil
2001,R,Das Experiment
1951,A,A Place in the Sun
1990,Not Rated,Yume
1993,Not Rated,The Joy Luck Club
1986,Not Rated,Down by Law
2016,UA,Forushande
1960,U,L'avventura
2011,UA,Rockstar
2005,R,Adams Ã¦bler
1986,Not Rated,When the Wind Blows
2006,R,Efter brylluppet
1992,Not Rated,The Muppet Christmas Carol
1948,Not Rated,Key Largo
2018,UA,Raazi
1977,Not Rated,3 Women
1988,Not Rated,L'ours
2003,PG-13,Les triplettes de Belleville
1961,Not Rated,Splendor in the Grass
2010,NC-17,El infierno
1985,U,The Purple Rose of Cairo
2019,Not Rated,Boze Cialo
1962,Not Rated,L'eclisse
1995,PG-13,The Cure
1982,U,Missing
2022,UA 16+,A Thursday
2000,Not Rated,Gongdong gyeongbi guyeok JSA
1960,Not Rated,Elmer Gantry
2005,PG-13,Joyeux NoÃ«l
1975,Not Rated,Love and Death
2006,U,Toki o kakeru shÃ´jo
1997,Not Rated,Hana-bi
1961,Not Rated,L'annÃ©e derniÃ¨re Ã  Marienbad
1941,Not Rated,How Green Was My Valley
1968,Not Rated,Il grande silenzio
1946,Not Rated,The Killers
2017,Not Rated,Tuntematon sotilas
2011,Not Rated,A torinÃ³i lÃ³
1960,Not Rated,La ciociara
1949,Not Rated,Twelve O'Clock High
1979,Not Rated,Die Ehe der Maria Braun
1962,Not Rated,Jules et Jim
2017,U,The Breadwinner
2002,PG-13,In America
1955,Not Rated,Bad Day at Black Rock
1935,Not Rated,Top Hat
2007,Not Rated,Auf der anderen Seite
1941,Not Rated,The Lady Eve
1945,Not Rated,Scarlet Street
1985,Not Rated,Sans toit ni loi
1939,Not Rated,The Women
2011,Not Rated,Ojik geudaeman
1964,A,The Pawnbroker
1941,Not Rated,Ball of Fire
2013,PG-13,Le passÃ©
1941,Not Rated,Sergeant York
1967,Not Rated,Les demoiselles de Rochefort
1949,Not Rated,A Letter to Three Wives
2018,UA,Doragon bÃ´ru chÃ´: BurorÃ®
1935,Not Rated,Captain Blood
2012,Not Rated,Berserk: Ougon jidai-hen II - Dorudorei koryaku
1958,Not Rated,Mon oncle
1983,Not Rated,Zelig
2016,UA,Kapoor & Sons
1974,Not Rated,Jeder fÃ¼r sich und Gott gegen alle
1998,Not Rated,Sibirskiy tsiryulnik
2016,A,Udta Punjab
1930,Not Rated,Der blaue Engel
1940,Not Rated,Waterloo Bridge
I 2004,Not Rated,Mind Game
1938,Not Rated,Holiday
1916,Not Rated,Intolerance: Love's Struggle Throughout the Ages
1937,Not Rated,The Awful Truth
1985,Not Rated,La historia oficial
1999,Not Rated,KikujirÃ´ no natsu
1950,Not Rated,The Gunfighter
1964,Not Rated,Il vangelo secondo Matteo
1981,Not Rated,Mephisto
I 2005,(Banned),Water
1967,Not Rated,Mouchette
1977,Not Rated,Stroszek
1987,Not Rated,Przypadek
2008,UA,Oye Lucky! Lucky Oye!
2009,R,Nanjing! Nanjing!
1987,U,Mr. India
2002,R,Bang Bang You're Dead
1973,Not Rated,Three Wishes for Cinderella
2004,PG-13,Dear Frankie
2015,R,Que Horas Ela Volta?
1955,Not Rated,Sommarnattens leende
1944,Not Rated,Ivan Groznyy
1962,Not Rated,Le doulos
2012,UA,Eega
2012,U,Nanban
1996,PG,Shall we dansu?
2013,Not Rated,Kelebegin RÃ¼yasi
2007,U,Guru
2004,R,Inside I'm Dancing
1996,PG-13,Kolja
1997,R,Karakter
2009,A,Magadheera
2018,UA,Geetha Govindam
1978,U,Don
1996,Not Rated,Tabutta RÃ¶vasata
2008,U,Rock On!!
2004,Not Rated,Machuca
2014,Not Rated,Itirazim Var
2013,Not Rated,Sen Aydinlatirsin Geceyi
2011,UA,Mankatha
2019,UA,Nerkonda Paarvai
2004,A,Saw
2001,U,Harry Potter and the Sorcerer's Stone
2022,UA,Avatar: The Way of Water
2019,A,Once Upon a Time in... Hollywood
2000,A,American Psycho
1993,U,Dazed and Confused
2007,A,Superbad
2009,A,Watchmen
1998,A,Dark City
2003,A,Love Actually
1997,UA,The Fifth Element
2009,UA,Harry Potter and the Half-Blood Prince
2001,13,The Others
2005,U,Star Wars: Episode III - Revenge of the Sith
2006,A,300
2014,R,What We Do in the Shadows
2007,U,Stardust
2016,A,Busanhaeng
2018,R,Deadpool 2
I 2016,U,Moana
1999,R,Office Space
II 2016,13,Hell or High Water
2017,UA,Baby Driver
1992,UA,My Cousin Vinny
1986,A,The Fly
1990,A,The Godfather Part III
1987,UA,RoboCop
2011,PG-13,Midnight in Paris
2009,A,Zombieland
2017,UA,Guardians of the Galaxy Vol. 2
2000,A,Traffic
2001,UA,Moulin Rouge!
1989,U,The Little Mermaid
2023,PG,Nimona
2017,15+,Gifted
2002,A,Minority Report
2009,16,Sherlock Holmes
2011,13,Moneyball
2008,U,Kung Fu Panda
2004,UA,The Butterfly Effect
1963,A,The Birds
2012,A,End of Watch
2018,A,A Star Is Born
2001,A,The Royal Tenenbaums
2010,UA,Kick-Ass
I 1985,UA,After Hours
2010,16,True Grit
2008,UA,The Reader
1968,U,Romeo and Juliet
2009,UA,The Blind Side
2006,18,Inside Man
2011,R,La piel que habito
1998,A,The Thin Red Line
1977,U,Close Encounters of the Third Kind
1991,UA,Thelma & Louise
2022,PG,Guillermo del Toro's Pinocchio
1998,U,Mulan
1993,15+,Falling Down
2018,UA,Incredibles 2
2004,R,The Machinist
2007,A,Gone Baby Gone
2007,R,Eastern Promises
2010,U,Despicable Me
2002,R,Interstate 60: Episodes of the Road
1961,A,Breakfast at Tiffany's
2015,UA,Bridge of Spies
1988,U,The Naked Gun: From the Files of Police Squad!
1981,UA,Mad Max 2
2019,16,The Peanut Butter Falcon
1937,U,Snow White and the Seven Dwarfs
1997,A,Lost Highway
2005,R,Match Point
1998,UA,Rushmore
2017,A,The Florida Project
2011,UA,Rise of the Planet of the Apes
2017,UA,Only the Brave
2011,A,Serbuan maut
2019,PG-13,Dark Waters
1967,U,The Jungle Book
2021,13,The Mitchells vs the Machines
II 2015,UA,Creed
2014,UA,Dawn of the Planet of the Apes
2007,UA,Freedom Writers
1984,A,Blood Simple
1987,UA,Lethal Weapon
2006,A,The Last King of Scotland
1961,A,West Side Story
1987,U,"Planes, Trains & Automobiles"
1953,Not Rated,From Here to Eternity
2003,UA,21 Grams
2011,18,50/50
2005,All,Lord of War
1955,U,Rebel Without a Cause
1995,UA,Do lok tin si
2008,U,Gake no ue no Ponyo
2004,Unrated,Mysterious Skin
2006,UA,United 93
2021,Not Rated,Doraibu mai kÃ¢
1973,A,Enter the Dragon
1995,A,Die Hard with a Vengeance
2018,A,Hotel Mumbai
1933,Not Rated,The Invisible Man
II 2015,Not Rated,Victoria
1931,Not Rated,Dr. Jekyll and Mr. Hyde
III 2018,U/A,Searching
2008,UA,Seven Pounds
2000,U,Vampire Hunter D: Bloodlust
2019,A,Just Mercy
2019,Not Rated,Sorry We Missed You
1995,A,The Bridges of Madison County
2001,U,I Am Sam
1993,PG,Gettysburg
1988,A,Dangerous Liaisons
2004,Not Rated,Dead Man's Shoes
1956,U,Giant
1972,UA,Jeremiah Johnson
1965,Not Rated,Repulsion
1974,U,The Taking of Pelham One Two Three
1979,U,Escape from Alcatraz
2012,Not Rated,El cuerpo
1954,Not Rated,Sabrina
1960,Not Rated,Peeping Tom
1996,PG-13,Star Trek: First Contact
1968,U,Where Eagles Dare
2022,Not Rated,Kurak GÃ¼nler
2019,13,The Boy Who Harnessed the Wind
1991,U,The Commitments
1978,Not Rated,Watership Down
1960,Not Rated,Les yeux sans visage
2010,U,Karigurashi no Arietti
2021,PG-13,Mass
1975,Not Rated,Nashville
1970,U,Kelly's Heroes
1991,A,Barton Fink
2017,Not Rated,God's Own Country
1998,R,Le violon rouge
2002,R,25th Hour
1981,UA,On Golden Pond
1995,U,A Little Princess
1971,U,Walkabout
1976,UA,Le locataire
1987,Not Rated,Maurice
1967,U,"To Sir, with Love"
I 2006,UA,Volver
2003,R,The Station Agent
2022,UA 16+,"Argentina, 1985"
1953,Not Rated,Shane
1980,Not Rated,The Long Good Friday
2013,PG-13,Philomena
2017,Not Rated,Kamera o tomeru na!
2011,Not Rated,"Oslo, 31. august"
1982,A,Victor/Victoria
2019,16,The Two Popes
2007,PG-13,La Vie En Rose
1999,U,The Hurricane
2018,UA,Sanju
II 2011,Not Rated,Weekend
1979,U,The Muppet Movie
1964,Not Rated,The Night of the Iguana
1976,Not Rated,The Shootist
1988,Not Rated,Running on Empty
2008,Not Rated,Die Welle
2019,Not Rated,Shaonian de ni
1966,R,Seconds
2015,PG-13,Mustang
2007,R,Control
1971,A,GiÃ¹ la testa
1935,Not Rated,The 39 Steps
II 2007,Not Rated,Shelter
2007,PG-13,The Kite Runner
1946,Not Rated,Gilda
1968,Not Rated,The Odd Couple
2014,R,Leviafan
1962,Not Rated,Le procÃ¨s
1971,Not Rated,Wake in Fright
2021,UA,Pushpa: The Rise - Part 1
2016,PG-13,Mr. Church
2004,U,Un long dimanche de fianÃ§ailles
1996,Not Rated,Shine
1979,Not Rated,Scum
2022,A,Chup
1994,U,Trois couleurs: Blanc
1945,Not Rated,Leave Her to Heaven
2019,A,Les misÃ©rables
1971,Not Rated,Le souffle au coeur
2014,Not Rated,Twin Peaks: The Missing Pieces
1996,R,Beautiful Thing
2006,PG-13,Huo Yuan Jia
1939,Not Rated,Only Angels Have Wings
1968,U,Baisers volÃ©s
1971,A,McCabe & Mrs. Miller
1964,Not Rated,Alexis Zorbas
2016,PG-13,Maudie
1997,R,The Castle
1991,U,Kal Hee
1968,M/PG,The Swimmer
2020,16,Ludo
2017,R,Nelyubov
1955,U,All That Heaven Allows
1991,R,Europa
I 2007,PG-13,The Visitor
1944,Not Rated,Lifeboat
1953,Not Rated,Pickup on South Street
1969,Not Rated,Sayat Nova
1955,U,Mister Roberts
2021,UA 13+,Shiddat
1927,PG-13,Wings
1955,Not Rated,The Ladykillers
1931,Not Rated,The Public Enemy
2009,A,Celda 211
1985,Not Rated,Mitt liv som hund
1954,Not Rated,Johnny Guitar
1958,Not Rated,The Defiant Ones
1979,U,Rupan sansei: Kariosutoro no shiro
1989,Not Rated,Der siebente Kontinent
1950,Not Rated,Winchester '73
2012,Not Rated,Laurence Anyways
1973,A,Shurayukihime
2010,R,HÃ¦vnen
1993,UA,Baazigar
1942,Not Rated,The Magnificent Ambersons
1937,Not Rated,Lost Horizon
1990,R,Europa Europa
1972,G,1776
1935,U,Mutiny on the Bounty
1957,A,The Incredible Shrinking Man
1980,PG,Superman II: The Richard Donner Cut
1993,R,Xi yan
1998,PG-13,Le dÃ®ner de cons
1972,Not Rated,"Play It Again, Sam"
1942,Not Rated,Mrs. Miniver
1948,Not Rated,The Naked City
2005,Not Rated,Sophie Scholl - Die letzten Tage
2004,R,Vera Drake
2018,Not Rated,ÃlÃ¼mlÃ¼ DÃ¼nya
2003,R,Kontroll
2015,U,Bakemono no ko
1986,Not Rated,Le rayon vert
1977,R,Soldaat van Oranje
1947,Not Rated,Brute Force
2022,UA,Ponniyin Selvan: I
2007,R,Boy A
1944,Not Rated,The Woman in the Window
1947,Not Rated,Odd Man Out
2011,R,Mai wei
2002,PG-13,Mies vailla menneisyyttÃ¤
1964,Not Rated,Bande Ã  part
1998,Not Rated,Wandafuru raifu
1942,Not Rated,The Pride of the Yankees
1972,Not Rated,Die bitteren TrÃ¤nen der Petra von Kant
1947,Not Rated,The Bishop's Wife
2015,UA,Piku
1999,Not Rated,Bakha satang
2003,R,Carandiru
1978,Not Rated,Shao Lin san shi liu fang
2017,Not Rated,Chalard games goeng
2002,R,Bloody Sunday
1991,R,Les amants du Pont-Neuf
2019,Not Rated,And Then We Danced
2016,U,Sanam Teri Kasam
1998,R,Los amantes del CÃ­rculo Polar
1992,Not Rated,Un coeur en hiver
1959,Not Rated,Pickpocket
1941,Not Rated,Meet John Doe
1942,Not Rated,Yankee Doodle Dandy
1993,UA,Darr
1936,Not Rated,After the Thin Man
1939,Not Rated,Destry Rides Again
2018,UA,Karwaan
1940,Not Rated,The Sea Hawk
2000,Not Rated,Brat 2
2007,PG-13,12
2017,R,L'insulte
2011,UA,Pyaar Ka Punchnama
1994,13,Kabhi Haan Kabhi Naa
2017,Not Rated,Aile Arasinda
2009,U,Wake Up Sid
1950,Not Rated,Gun Crazy
2014,Not Rated,The Last: Naruto the Movie
1956,Not Rated,Bob le flambeur
2016,U,Neerja
1958,Not Rated,Ansiktet
2022,UA,Mahaan
1948,Not Rated,Yoidore tenshi
2016,UA,Madaari
1966,Not Rated,Ostre sledovanÃ© vlaky
I 2014,UA,Highway
2013,UA,Raanjhanaa
2015,18,Mucize
2015,PG-13,Bilal: A New Breed of Hero
1994,PG-13,Una pura formalitÃ 
1924,Not Rated,The Navigator
2015,UA,Detective Byomkesh Bakshy!
1995,PG,Dragon Ball Z: Fukkatsu no Fusion!! Gokuu to Vegeta
2005,R,Shooting Dogs
2021,UA,Shyam Singha Roy
1969,Not Rated,En passion
2000,Not Rated,Im Juli
2022,UA,Bheeshmaparvam
1976,Not Rated,Les 12 travaux d'AstÃ©rix
2006,Not Rated,Chaharshanbe-soori
2008,PG-13,Il y a longtemps que je t'aime
2017,UA,Newton
2011,Not Rated,"Na xie nian, wo men yi qi zhui de nu hai"
1997,Not Rated,Agir Roman
2013,UA,Madras Cafe
2005,UA,Sarkar
2018,Not Rated,MÃ¼slÃ¼m
2003,U,Hungama
2008,A,Aamir
2016,UA,Irudhi Suttru
2003,R,O Homem Que Copiava
2012,A,Miss Lovely
2015,UA,Tanu Weds Manu Returns
2007,UA,Bheja Fry
